,ins_74901673,task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,j_217,10,Terminated,673795,673797,m_2637,1,1.1,13,16,0.02,0.02.1
80,ins_329942930,M1,j_2014,1,Terminated,372603,372620,m_698,1,1,73.0,106.0,0.05,0.05
81,ins_248611039,M1,j_2014,1,Terminated,372603,372617,m_937,1,1,84.0,114.0,0.05,0.05
82,ins_408670455,M1,j_2014,1,Terminated,372602,372663,m_1196,1,1,82.0,126.0,0.05,0.05
83,ins_996207811,M1,j_2014,1,Terminated,372602,372616,m_3771,1,1,88.0,129.0,0.05,0.05
84,ins_1339328778,M1,j_2014,1,Terminated,372602,372616,m_2353,1,1,80.0,104.0,0.05,0.05
85,ins_85902300,M1,j_2014,1,Terminated,372603,372616,m_3267,1,1,88.0,143.0,0.05,0.05
86,ins_492639795,M1,j_2014,1,Terminated,372603,372616,m_265,1,1,85.0,114.0,0.05,0.05
87,ins_1176719438,M1,j_2014,1,Terminated,372603,372615,m_1008,1,1,93.0,124.0,0.05,0.05
88,ins_564677756,M1,j_2014,1,Terminated,372602,372615,m_1729,1,1,94.0,125.0,0.04,0.05
89,ins_932677801,M1,j_2014,1,Terminated,372602,372614,m_2519,1,1,96.0,135.0,0.05,0.05
90,ins_646069244,M1,j_2014,1,Terminated,372602,372615,m_4009,1,1,95.0,132.0,0.05,0.05
91,ins_688610579,M1,j_2014,1,Terminated,372602,372616,m_3131,1,1,88.0,115.0,0.04,0.05
92,ins_1013997515,M1,j_2014,1,Terminated,372603,372616,m_1924,1,1,87.0,133.0,0.05,0.05
93,ins_685635589,M1,j_2014,1,Terminated,372602,372615,m_539,1,1,87.0,146.0,0.05,0.05
94,ins_1013997266,M1,j_2014,1,Terminated,372603,372619,m_686,1,1,75.0,97.0,0.04,0.05
95,ins_1077554435,M1,j_2014,1,Terminated,372602,372617,m_1884,1,1,80.0,132.0,0.05,0.05
96,ins_727049245,M1,j_2014,1,Terminated,372602,372613,m_516,1,1,96.0,164.0,0.05,0.05
97,ins_1077554826,M1,j_2014,1,Terminated,372603,372617,m_826,1,1,81.0,99.0,0.04,0.05
98,ins_932677603,M1,j_2014,1,Terminated,372602,372615,m_2398,1,1,91.0,150.0,0.05,0.05
99,ins_688610506,M1,j_2014,1,Terminated,372602,372613,m_437,1,1,99.0,154.0,0.05,0.05
100,ins_1339393313,M1,j_2014,1,Terminated,372602,372613,m_1312,1,1,105.0,143.0,0.05,0.05
101,ins_1095275815,M1,j_2014,1,Terminated,372603,372617,m_1603,1,1,82.0,141.0,0.05,0.05
102,ins_167265226,M1,j_2014,1,Terminated,372602,372612,m_1224,1,1,105.0,165.0,0.05,0.05
103,ins_1173697802,M1,j_2014,1,Terminated,372602,372616,m_3028,1,1,87.0,116.0,0.05,0.05
104,ins_1257960509,M1,j_2014,1,Terminated,372602,372615,m_599,1,1,88.0,123.0,0.05,0.05
105,ins_688610740,M1,j_2014,1,Terminated,372603,372615,m_2432,1,1,93.0,137.0,0.05,0.05
106,ins_914884625,M1,j_2014,1,Terminated,372603,372618,m_1144,1,1,81.0,124.0,0.05,0.05
107,ins_1257960121,M1,j_2014,1,Terminated,372601,372615,m_1326,1,1,86.0,113.0,0.04,0.05
108,ins_929638580,M1,j_2014,1,Terminated,372602,372615,m_2991,1,1,90.0,125.0,0.04,0.05
109,ins_929638885,M1,j_2014,1,Terminated,372607,372621,m_1953,1,1,82.0,160.0,0.05,0.05
110,ins_752224450,M1,j_2014,1,Terminated,372602,372615,m_737,1,1,89.0,150.0,0.05,0.05
111,ins_330246571,M1,j_2014,1,Terminated,372603,372617,m_1525,1,1,85.0,120.0,0.05,0.05
112,ins_408670548,M1,j_2014,1,Terminated,372603,372685,m_1110,1,1,64.0,115.0,0.05,0.05
113,ins_1339393381,M1,j_2014,1,Terminated,372602,372613,m_2880,1,1,103.0,168.0,0.05,0.05
114,ins_1349023655,M1,j_2014,1,Terminated,372603,372616,m_2381,1,1,91.0,154.0,0.05,0.05
115,ins_1176719617,M1,j_2014,1,Terminated,372603,372615,m_2702,1,1,94.0,120.0,0.05,0.05
116,ins_848295929,M1,j_2014,1,Terminated,372602,372614,m_1941,1,1,96.0,130.0,0.04,0.05
117,ins_1095345172,M1,j_2014,1,Terminated,372602,372613,m_1803,1,1,95.0,140.0,0.05,0.05
118,ins_1095276121,M1,j_2014,1,Terminated,372603,372615,m_2185,1,1,94.0,116.0,0.05,0.05
119,ins_914884534,M1,j_2014,1,Terminated,372603,372615,m_1768,1,1,95.0,156.0,0.05,0.05
120,ins_85902227,M1,j_2014,1,Terminated,372603,372615,m_1438,1,1,89.0,121.0,0.05,0.05
121,ins_85901913,M1,j_2014,1,Terminated,372602,372616,m_994,1,1,87.0,133.0,0.05,0.05
122,ins_1077554898,M1,j_2014,1,Terminated,372602,372615,m_2859,1,1,92.0,122.0,0.05,0.05
123,ins_1257960041,M1,j_2014,1,Terminated,372602,372616,m_2749,1,1,82.0,122.0,0.04,0.05
124,ins_167264863,M1,j_2014,1,Terminated,372602,372614,m_3890,1,1,100.0,126.0,0.05,0.05
125,ins_411602671,M1,j_2014,1,Terminated,372603,372615,m_2154,1,1,91.0,130.0,0.05,0.05
126,ins_1336359830,M1,j_2014,1,Terminated,372604,372618,m_2923,1,1,81.0,99.0,0.04,0.05
127,ins_257563798,M1,j_2014,1,Terminated,372603,372618,m_375,1,1,80.0,129.0,0.05,0.05
128,ins_1013934226,M1,j_2014,1,Terminated,372603,372617,m_3204,1,1,87.0,115.0,0.04,0.05
129,ins_79311607,M1,j_2014,1,Terminated,372602,372615,m_3952,1,1,94.0,151.0,0.05,0.05
130,ins_646069390,M1,j_2014,1,Terminated,372602,372615,m_1187,1,1,93.0,145.0,0.05,0.05
131,ins_1257960984,M1,j_2014,1,Terminated,372603,372615,m_1612,1,1,98.0,168.0,0.05,0.05
132,ins_1010969907,M1,j_2014,1,Terminated,372602,372614,m_183,1,1,99.0,156.0,0.05,0.05
133,ins_4567649,M1,j_2014,1,Terminated,372603,372617,m_4031,1,1,81.0,113.0,0.05,0.05
134,ins_492640099,M1,j_2014,1,Terminated,372603,372616,m_1235,1,1,89.0,126.0,0.05,0.05
135,ins_1013933644,M1,j_2014,1,Terminated,372603,372615,m_3059,1,1,91.0,116.0,0.05,0.05
136,ins_675378523,M1,j_2014,1,Terminated,372602,372617,m_1252,1,1,84.0,151.0,0.05,0.05
137,ins_1173698131,M1,j_2014,1,Terminated,372602,372614,m_1558,1,1,96.0,130.0,0.05,0.05
138,ins_4568534,M1,j_2014,1,Terminated,372603,372617,m_1323,1,1,84.0,116.0,0.05,0.05
139,ins_932677697,M1,j_2014,1,Terminated,372602,372616,m_2323,1,1,84.0,147.0,0.05,0.05
140,ins_248611128,M1,j_2014,1,Terminated,372602,372614,m_2782,1,1,98.0,158.0,0.05,0.05
141,ins_1095345688,M1,j_2014,1,Terminated,372603,372621,m_2218,1,1,70.0,118.0,0.05,0.05
142,ins_248610963,M1,j_2014,1,Terminated,372602,372615,m_1563,1,1,96.0,163.0,0.05,0.05
143,ins_688680190,M1,j_2014,1,Terminated,372603,372616,m_4026,1,1,89.0,129.0,0.05,0.05
144,ins_752224529,M1,j_2014,1,Terminated,372604,372618,m_2802,1,1,83.0,113.0,0.05,0.05
145,ins_411601925,M1,j_2014,1,Terminated,372603,372617,m_1717,1,1,87.0,134.0,0.05,0.05
146,ins_1349023482,M1,j_2014,1,Terminated,372604,372620,m_310,1,1,72.0,105.0,0.05,0.05
147,ins_1013997429,M1,j_2014,1,Terminated,372602,372613,m_565,1,1,95.0,115.0,0.04,0.05
148,ins_329942848,M1,j_2014,1,Terminated,372612,372619,m_1607,1,1,100.0,104.0,0.05,0.06
149,ins_766979467,M1,j_2014,1,Terminated,372602,372612,m_2696,1,1,109.0,161.0,0.05,0.05
150,ins_411602446,M1,j_2014,1,Terminated,372602,372614,m_1765,1,1,97.0,124.0,0.05,0.05
151,ins_79319743,M1,j_2014,1,Terminated,372603,372618,m_3639,1,1,78.0,120.0,0.04,0.05
152,ins_1176720167,M1,j_2014,1,Terminated,372602,372615,m_2896,1,1,95.0,147.0,0.05,0.05
153,ins_851343674,M1,j_2014,1,Terminated,372602,372614,m_2553,1,1,96.0,128.0,0.05,0.05
154,ins_929638486,M1,j_2014,1,Terminated,372603,372615,m_2433,1,1,95.0,143.0,0.05,0.05
155,ins_1092321635,M1,j_2014,1,Terminated,372603,372615,m_24,1,1,93.0,130.0,0.05,0.05
156,ins_770023459,M1,j_2014,1,Terminated,372602,372613,m_1165,1,1,98.0,172.0,0.05,0.05
157,ins_727045306,M1,j_2014,1,Terminated,372603,372614,m_3479,1,1,97.0,158.0,0.05,0.05
158,ins_727055266,M1,j_2014,1,Terminated,372603,372619,m_3576,1,1,74.0,117.0,0.05,0.05
159,ins_1013933802,M1,j_2014,1,Terminated,372603,372617,m_3750,1,1,87.0,116.0,0.05,0.05
160,ins_1173698873,M1,j_2014,1,Terminated,372602,372616,m_2180,1,1,89.0,126.0,0.05,0.05
161,ins_1176648826,M1,j_2014,1,Terminated,372603,372616,m_2303,1,1,88.0,120.0,0.05,0.05
162,ins_79449049,M1,j_2014,1,Terminated,372603,372615,m_2441,1,1,94.0,139.0,0.05,0.05
163,ins_766979314,M1,j_2014,1,Terminated,372602,372613,m_3920,1,1,104.0,149.0,0.05,0.05
164,ins_1122880623,M1,j_2014,1,Terminated,372602,372616,m_1934,1,1,88.0,123.0,0.05,0.05
165,ins_766979733,M1,j_2014,1,Terminated,372602,372612,m_2608,1,1,108.0,172.0,0.05,0.05
166,ins_1158931520,M1,j_2014,1,Terminated,372603,372614,m_1610,1,1,99.0,140.0,0.05,0.05
167,ins_833551038,M1,j_2014,1,Terminated,372602,372614,m_3437,1,1,94.0,121.0,0.05,0.05
168,ins_646006845,M1,j_2014,1,Terminated,372602,372612,m_3003,1,1,107.0,137.0,0.05,0.05
169,ins_1258024206,M1,j_2014,1,Terminated,372604,372618,m_1805,1,1,85.0,118.0,0.05,0.05
170,ins_848296004,M1,j_2014,1,Terminated,372603,372619,m_1954,1,1,75.0,108.0,0.05,0.05
171,ins_932605385,M1,j_2014,1,Terminated,372602,372614,m_714,1,1,98.0,138.0,0.05,0.05
172,ins_1339393236,M1,j_2014,1,Terminated,372603,372617,m_3822,1,1,87.0,118.0,0.05,0.05
173,ins_1092321783,M1,j_2014,1,Terminated,372602,372612,m_1063,1,1,109.0,139.0,0.04,0.05
174,ins_1349023830,M1,j_2014,1,Terminated,372602,372614,m_3482,1,1,94.0,141.0,0.05,0.05
175,ins_411602748,M1,j_2014,1,Terminated,372602,372616,m_2927,1,1,86.0,139.0,0.05,0.05
176,ins_1013933300,M1,j_2014,1,Terminated,372603,372617,m_863,1,1,82.0,134.0,0.05,0.05
177,ins_1257959966,M1,j_2014,1,Terminated,372602,372614,m_3957,1,1,97.0,153.0,0.05,0.05
178,ins_752224864,M1,j_2014,1,Terminated,372603,372624,m_3162,1,1,58.0,116.0,0.05,0.05
179,ins_492639548,M1,j_2014,1,Terminated,372604,372617,m_844,1,1,88.0,108.0,0.04,0.05
180,ins_1013933721,M1,j_2014,1,Terminated,372603,372616,m_1043,1,1,90.0,103.0,0.05,0.05
181,ins_1176719353,M1,j_2014,1,Terminated,372603,372616,m_1821,1,1,90.0,123.0,0.05,0.05
182,ins_411602371,M1,j_2014,1,Terminated,372602,372615,m_3633,1,1,91.0,118.0,0.05,0.05
183,ins_752224612,M1,j_2014,1,Terminated,372603,372617,m_2903,1,1,85.0,131.0,0.04,0.05
184,ins_848304491,M1,j_2014,1,Terminated,372602,372614,m_2866,1,1,97.0,129.0,0.05,0.05
185,ins_248610804,M1,j_2014,1,Terminated,372602,372611,m_1674,1,1,109.0,144.0,0.05,0.05
186,ins_646069317,M1,j_2014,1,Terminated,372602,372613,m_1639,1,1,102.0,146.0,0.05,0.05
187,ins_1013933228,M1,j_2014,1,Terminated,372603,372618,m_926,1,1,80.0,103.0,0.05,0.05
188,ins_1173697987,M1,j_2014,1,Terminated,372603,372618,m_21,1,1,75.0,98.0,0.04,0.05
189,ins_807222453,R2_1,j_2014,1,Terminated,372696,372703,m_204,1,1,32.0,113.0,0.03,0.03
190,ins_932676911,M1,j_2014,1,Terminated,372602,372613,m_2943,1,1,103.0,143.0,0.05,0.05
191,ins_1336360432,M1,j_2014,1,Terminated,372603,372617,m_2489,1,1,86.0,105.0,0.05,0.05
192,ins_646006416,M1,j_2014,1,Terminated,372602,372614,m_427,1,1,98.0,139.0,0.05,0.05
193,ins_1257960350,M1,j_2014,1,Terminated,372601,372614,m_406,1,1,93.0,154.0,0.05,0.05
194,ins_1336360248,M1,j_2014,1,Terminated,372601,372614,m_576,1,1,90.0,130.0,0.05,0.05
195,ins_688611061,M1,j_2014,1,Terminated,372603,372616,m_4014,1,1,91.0,146.0,0.05,0.05
196,ins_411298863,M1,j_2014,1,Terminated,372603,372616,m_3850,1,1,89.0,123.0,0.05,0.05
197,ins_1204219292,M1,j_2014,1,Terminated,372602,372614,m_2247,1,1,100.0,143.0,0.05,0.05
198,ins_688611140,M1,j_2014,1,Terminated,372602,372615,m_2486,1,1,89.0,122.0,0.05,0.05
199,ins_685635673,M1,j_2014,1,Terminated,372602,372614,m_921,1,1,99.0,139.0,0.04,0.05
200,ins_1258023669,M1,j_2014,1,Terminated,372602,372615,m_3618,1,1,96.0,144.0,0.05,0.05
201,ins_1258031333,M1,j_2014,1,Terminated,372603,372614,m_2659,1,1,97.0,124.0,0.05,0.05
202,ins_330247277,M1,j_2014,1,Terminated,372602,372613,m_1960,1,1,102.0,135.0,0.05,0.05
203,ins_996208455,M1,j_2014,1,Terminated,372603,372617,m_872,1,1,81.0,111.0,0.05,0.05
204,ins_1010969982,M1,j_2014,1,Terminated,372604,372619,m_2368,1,1,82.0,103.0,0.04,0.05
205,ins_1095276204,M1,j_2014,1,Terminated,372602,372615,m_1780,1,1,95.0,147.0,0.05,0.05
206,ins_167264786,M1,j_2014,1,Terminated,372602,372614,m_1941,1,1,98.0,133.0,0.05,0.05
207,ins_1013997189,M1,j_2014,1,Terminated,372603,372617,m_1552,1,1,84.0,109.0,0.05,0.05
208,ins_1014005324,M1,j_2014,1,Terminated,372603,372614,m_434,1,1,96.0,136.0,0.05,0.05
209,ins_727056946,M1,j_2014,1,Terminated,372603,372617,m_3827,1,1,85.0,143.0,0.05,0.05
210,ins_833551374,M1,j_2014,1,Terminated,372602,372613,m_2376,1,1,101.0,138.0,0.05,0.05
211,ins_79343412,M1,j_2014,1,Terminated,372611,372619,m_1674,1,1,100.0,108.0,0.05,0.06
212,ins_675377754,M1,j_2014,1,Terminated,372611,372620,m_3841,1,1,86.0,112.0,0.05,0.06
213,ins_848295533,M1,j_2014,1,Terminated,372602,372614,m_1784,1,1,98.0,133.0,0.04,0.05
214,ins_564678011,M1,j_2014,1,Terminated,372603,372616,m_1717,1,1,85.0,120.0,0.05,0.05
215,ins_851343521,M1,j_2014,1,Terminated,372603,372618,m_378,1,1,79.0,110.0,0.05,0.05
216,ins_329943008,M1,j_2014,1,Terminated,372603,372615,m_1821,1,1,96.0,132.0,0.05,0.05
217,ins_329942690,M1,j_2014,1,Terminated,372602,372615,m_493,1,1,95.0,134.0,0.05,0.05
218,ins_1339329077,M1,j_2014,1,Terminated,372602,372616,m_1163,1,1,88.0,111.0,0.05,0.05
219,ins_4568258,M1,j_2014,1,Terminated,372602,372613,m_1446,1,1,104.0,155.0,0.05,0.05
220,ins_257568867,M1,j_2014,1,Terminated,372603,372617,m_3340,1,1,85.0,125.0,0.05,0.05
221,ins_675381704,M1,j_2014,1,Terminated,372603,372619,m_150,1,1,76.0,109.0,0.05,0.05
222,ins_411298447,M1,j_2014,1,Terminated,372602,372615,m_2138,1,1,87.0,111.0,0.05,0.05
223,ins_85901676,M1,j_2014,1,Terminated,372602,372615,m_1452,1,1,90.0,120.0,0.05,0.05
224,ins_752225555,M1,j_2014,1,Terminated,372603,372616,m_3814,1,1,89.0,121.0,0.05,0.05
225,ins_79441032,M1,j_2014,1,Terminated,372602,372614,m_1644,1,1,96.0,139.0,0.05,0.05
226,ins_688610984,M1,j_2014,1,Terminated,372602,372613,m_114,1,1,102.0,127.0,0.05,0.05
227,ins_167265158,M1,j_2014,1,Terminated,372602,372613,m_351,1,1,99.0,143.0,0.05,0.05
228,ins_848296168,M1,j_2014,1,Terminated,372603,372620,m_481,1,1,75.0,110.0,0.05,0.05
